Number of Records,Franchise ID,Lg ID,Name First,Name Given,Name Last,playerID (Master.csv),Player ID,Pos Team ID,Starting Pos,Team ID,Year ID
1,SFG,NL,Will,William Nuschler,Clark,clarkwi02,clarkwi02,SFN,3,SFN,1989
1,CHC,NL,Ryne,Ryne Dee,Sandberg,sandbry01,sandbry01,CHN,4,CHN,1989
1,NYM,NL,Howard,Howard Michael,Johnson,johnsho01,johnsho01,NYN,5,NYN,1989
1,STL,NL,Ozzie,Osborne Earl,Smith,smithoz01,smithoz01,SLN,6,SLN,1989
1,SFG,NL,Kevin,Kevin Darnell,Mitchell,mitchke01,mitchke01,SFN,7,SFN,1989
1,CIN,NL,Eric,Eric Keith,Davis,daviser01,daviser01,CIN,8,CIN,1989
1,SDP,NL,Tony,Anthony Keith,Gwynn,gwynnto01,gwynnto01,SDN,9,SDN,1989
1,STL,NL,Pedro,Pedro,Guerrero,guerrpe01,guerrpe01,SLN,10,SLN,1989
1,PIT,NL,Bobby,Roberto Martin Antonio,Bonilla,bonilbo01,bonilbo01,PIT,,PIT,1989
1,WSN,NL,Tim,Timothy Philip,Burke,burketi01,burketi01,MON,,MON,1989
